2021_us_rank,name,2021_net worth
1,jeff bezos,179
2,bill gates,111
3,mark zuckerberg,85
4,warren buffett,73.5
5,larry ellison,72
6,steve ballmer,69
7,elon musk,68
8,larry page,67.5
9,sergey brin,65.7
10,alice walton,62.3
11,jim walton,62.1
12,rob walton,61.8
13,mackenzie scott,57
14,michael bloomberg,55
15,charles koch,45
15,julia koch,45
17,phil knight,39.2
18,michael dell,35.6
19,sheldon adelson,29.8
20,jacqueline mars,29
20,john mars,29
22,len blavatnik,25
23,jim simons,23.5
24,stephen schwarzman,19.1
25,leonard lauder,17.4
26,pierre omidyar,17.2
26,thomas peterffy,17.2
28,rupert murdoch,17.1
29,ray dalio,16.9
30,laurene powell jobs,16
31,lukas walton,15.4
32,donald bren,15.3
33,eric schmidt,15.1
34,ken griffin,15
34,abigail johnson,15
36,steve cohen,14.5
37,john menard,14.2
37,dustin moskovitz,14.2
39,carl icahn,14
40,donald newhouse,13.7
41,david tepper,13
42,thomas frist,11.6
43,david duffield,11
43,eric yuan,11
45,carl cook,10.5
45,john doerr,10.5
45,robert pera,10.5
48,gordon moore,10.3
49,hank & doug meijer,10.2
50,philip anschutz,10.1
51,jensen huang,9.8
51,jan koum,9.8
53,ernest garcia,9.6
54,charles ergen,9.3
55,leon black,8.7
56,jerry jones,8.6
56,george soros,8.6
58,ann walton kroenke,8.4
59,herbert kohler,8.3
59,stanley kroenke,8.3
61,jim kennedy,8.2
61,tom & judy love,8.2
61,blair parry-okeden,8.2
61,steven rales,8.2
65,david geffen,8.1
66,shahid khan,7.8
67,andrew beal,7.6
67,david green,7.6
69,marc benioff,7.5
69,daniel gilbert,7.5
69,nancy walton laurie,7.5
72,edward johnson,7.4
72,bernard marcus,7.4
74,israel englander,7.2
74,marijke mars,7.2
74,pamela mars,7.2
74,valerie mars,7.2
74,victoria mars,7.2
74,stephen ross,7.2
74,christy walton,7.2
81,bubba cathy,7.1
81,dan cathy,7.1
81,stewart and lynda resnick,7.1
84,diane hendricks,7
85,eli broad,6.9
85,jay chaudhry,6.9
85,chase coleman,6.9
85,jim davis,6.9
85,charles schwab,6.9
90,jack dorsey,6.8
91,reinhold schmieding,6.7
91,patrick soon-shiong,6.7
93,robert kraft,6.6
93,george roberts,6.6
95,james goodnight,6.5
95,john malone,6.5
95,john overdeck,6.5
95,david shaw,6.5
95,david siegel,6.5
95,david sun,6.5
95,john tu,6.5
102,henry kravis,6.4
103,richard kinder,6.2
103,ronald perelman,6.2
105,arthur blank,6.1
105,dennis washington,6.1
107,john a. sobrato,6
108,paul tudor jones,5.8
109,tom gores,5.7
110,micky arison,5.6
110,jack dangermond,5.6
110,ralph lauren,5.6
110,mitchell rales,5.6
110,ronda stryker,5.6
115,rocco commisso,5.5
115,judy faulkner,5.5
115,edward roski,5.5
115,jeff skoll,5.5
