"","name","gender_x"
"1","jeff bezos","male"
"2","bill gates","male"
"3","warren buffett","male"
"5","larry ellison","male"
"6","mark zuckerberg","male"
"12","jim walton","male"
"13","alice walton","female"
"14","rob walton","male"
"15","steve ballmer","male"
"8","larry page","male"
"11","sergey brin","unknown"
"7","michael bloomberg","male"
"9","charles koch","male"
"20","sheldon adelson","male"
"26","jacqueline mars","female"
"27","john mars","male"
"32","elon musk","male"
"21","michael dell","male"
"34","jim simons","male"
"61","lukas walton","male"
"43","ray dalio","male"
"45","len blavatnik","male"
"53","donald bren","male"
"76","stephen schwarzman","male"
"65","leonard lauder","male"
"49","thomas peterffy","male"
"77","steve cohen","male"
"47","carl icahn","male"
"79","eric schmidt","male"
"90","ken griffin","male"
"91","david tepper","male"
"93","pierre omidyar","male"
"98","philip anschutz","male"
"56","abigail johnson","female"
"89","donald newhouse","male"
"180","hank & doug meijer","male"
"134","stanley kroenke","male"
"109","gordon moore","male"
"112","jan koum","male"
"95","dustin moskovitz","male"
"128","sun hongbin","unknown"
"162","christy walton","male"
"143","george soros","male"
"141","carl cook","male"
"177","jerry jones","male"
"125","andrew beal","male"
"197","ann walton kroenke","female"
"178","shahid khan","unknown"
"120","jim kennedy","male"
"121","blair parry-okeden","male"
"150","david geffen","male"
"153","stephen ross","male"
"87","david duffield","male"
"165","david shaw","male"
"169","john doerr","male"
"243","nancy walton laurie","female"
"176","robert pera","male"
"118","ronald perelman","male"
"196","robert kraft","male"
"205","diane hendricks","female"
"185","eli broad","male"
"285","j. christopher reyes","unknown"
"286","jude reyes","male"
"142","charles schwab","male"
"200","leon black","male"
"201","israel englander","male"
"187","daniel gilbert","male"
"166","patrick soon-shiong","male"
"225","marijke mars","unknown"
"226","pamela mars","female"
"227","valerie mars","female"
"228","victoria mars","female"
"130","james goodnight","male"
"213","john overdeck","male"
"215","david siegel","male"
"161","john malone","male"
"190","marc benioff","male"
"230","steven rales","male"
"173","ralph lauren","male"
"385","tom gores","male"
"152","george kaiser","male"
"236","dennis washington","male"
"111","charles ergen","male"
"231","reinhold schmieding","male"
"252","george roberts","male"
"265","bruce kovner","male"
"192","richard kinder","male"
"250","henry kravis","male"
"129","micky arison","male"
"207","james chambers","male"
"210","katharine rayner","female"
"211","margaretta taylor","female"
"276","robert f. smith","male"
"297","daniel ziff","male"
"298","dirk ziff","male"
"299","robert ziff","male"
"327","terrence pegula","male"
"478","li ge","unknown"
"295","karen pritzker","female"
"172","pauline macmillan keinath","female"
"254","sam zell","male"
"318","stanley druckenmiller","male"
"412","jensen huang","male"
"258","george lucas","male"
"266","bernard marcus","male"
"301","arthur blank","male"
"303","ray lee hunt","male"
"240","ronda stryker","female"
"302","tilman fertitta","unknown"
"359","mark cuban","male"
"267","sheldon solow","male"
"275","john paulson","male"
"311","david sun","male"
"313","john tu","male"
"352","stephen bisciotti","male"
"422","nathan blecharczyk","male"
"425","brian chesky","male"
"429","joe gebbia","male"
"375","russ weiner","male"
"382","jack dangermond","male"
"394","jerry speyer","male"
"398","ronald lauder","male"
"417","janice mcnair","female"
"475","joshua harris","male"
"344","isaac perlmutter","male"
"391","igor olenicoff","male"
"408","steven udvar-hazy","male"
"469","ken fisher","male"
"349","jeff sutton","male"
"361","marian ilitch","female"
"406","harry stine","male"
"629","mary alice dorrance malone","male"
"345","trevor rees-jones","male"
"379","neil bluhm","male"
"386","reed hastings","male"
"456","michael milken","male"
"461","mitchell rales","male"
"491","jeff greene","male"
"506","david bonderman","male"
"233","dannine avara","unknown"
"234","scott duncan","male"
"235","milane frantz","unknown"
"347","gary rollins","male"
"420","roger wang","male"
"442","steven spielberg","male"
"462","donald sterling","male"
"581","lynsi snyder","unknown"
"605","thomas siebel","male"
"348","henry samueli","male"
"356","frank vandersloot","male"
"372","randall rollins","male"
"376","ben ashkenazy","male"
"404","gabe newell","male"
"434","douglas leone","male"
"454","lin bin","male"
"519","anthony pritzker","male"
"535","paul singer","male"
"582","david steward","male"
"606","charles simonyi","male"
"218","bubba cathy","male"
"219","dan cathy","male"
"380","rick caruso","male"
"504","meg whitman","female"
"553","john middleton","male"
"574","arturo moreno","male"
"244","john morris","male"
"377","bert beveridge","male"
"388","james leprino","male"
"472","tom golisano","male"
"489","charles cohen","male"
"494","ken langone","male"
"566","leon g. cooperman","male"
"577","marc rowan","male"
"593","gayle benson","male"
"617","jonathan gray","male"
"339","john sall","male"
"369","thomas pritzker","male"
"483","daniel och","male"
"510","allan goldman","male"
"511","jane goldman","female"
"512","amy goldman fowler","female"
"514","diane kemper","female"
"544","don hankey","male"
"586","steve wynn","male"
"619","thomas hagen","male"
"708","john paul dejoria","male"
"343","gwendolyn sontheim meyer","female"
"396","john brown","male"
"419","ira rennert","male"
"426","barry diller","male"
"485","howard schultz","male"
"572","joseph liemandt","male"
"637","thomas secunda","male"
"658","james irsay","male"
"667","eric smidt","male"
"782","bennett dorrance","male"
"893","thai lee","unknown"
"467","scott cook","male"
"534","mark shoen","male"
"578","michael rubin","male"
"579","patrick ryan","male"
"638","glen taylor","male"
"645","daniel d'aniello","male"
"515","joe mansueto","male"
"570","james jannard","male"
"628","daniel loeb","male"
"662","david rubenstein","male"
"373","fred smith","male"
"389","marianne liebmann","female"
"493","peter kellogg","male"
"502","jon stryker","male"
"562","mark walter","male"
"636","haim saban","unknown"
"656","jimmy haslam","male"
"687","sean parker","male"
"716","eric lefkofsky","male"
"730","bob parsons","male"
"897","jeffrey lurie","male"
"905","antony ressler","male"
"239","travis kalanick","male"
"247","jim davis","male"
"248","jim davis","male"
"268","jack dorsey","male"
"321","sumner redstone","male"
"539","clifford asness","male"
"620","b. wayne hughes","unknown"
"621","b. wayne hughes","unknown"
"657","john henry","male"
"681","noam gottesman","male"
"689","john pritzker","male"
"698","ty warner","male"
"826","jim coulter","male"
"859","dan snyder","male"
"972","chris larsen","male"
"1004","william berkley","male"
"260","robert rowling","male"
"447","brian acton","male"
"451","judy faulkner","male"
"501","herb simon","male"
"613","mortimer zuckerman","male"
"622","johnelle hunt","unknown"
"663","phil ruffin","male"
"690","penny pritzker","male"
"738","oprah winfrey","female"
"763","mark stevens","male"
"814","alan trefler","male"
"1072","peter gassner","male"
"477","elizabeth johnson","female"
"597","rakesh gangwal","unknown"
"632","richard peery","male"
"661","jeff rothschild","male"
"666","e. joe shoen","unknown"
"699","jerry yang","male"
"742","norman braman","male"
"756","c. dean metropoulos","unknown"
"771","herbert wertheim","male"
"779","george bishop","male"
"793","brad kelley","male"
"558","jean (gigi) pritzker","male"
"564","jim breyer","male"
"643","andrew & peggy cherng","male"
"664","richard sands","male"
"732","warren stephens","male"
"734","peter thiel","male"
"769","david walentas","male"
"803","daniel pritzker","male"
"804","stewart rahr","male"
"821","ron baron","male"
"845","clayton mathile","male"
"374","kelcy warren","female"
"569","jeffery hildebrand","male"
"679","doris fisher","female"
"710","joseph grendys","male"
"825","todd christopher","male"
"828","james dinan","male"
"858","brian sheth","male"
"867","jon yarbrough","male"
"875","ben chestnut","male"
"877","james clark","male"
"891","dan kurzius","male"
"907","kavitark ram shriram","unknown"
"929","bruce karsh","male"
"937","howard marks","male"
"970","jim kavanaugh","male"
"974","william lauder","male"
"289","david filo","male"
"498","alejandro santo domingo","male"
"499","andres santo domingo","male"
"516","jay paul","male"
"561","donald trump","male"
"649","gerald ford","male"
"680","john fisher","male"
"703","john arrillaga","male"
"704","bill austin","male"
"715","aerin lauder","unknown"
"816","william young","male"
"865","ted turner","male"
"868","charles zegar","male"
"883","gordon getty","male"
"927","jeffrey gundlach","male"
"931","henry laufer","male"
"1021","michael jordan","male"
"1051","leonard schleifer","male"
"670","vincent viola","male"
"693","t. denny sanford","unknown"
"764","pat stryker","male"
"787","david gottesman","male"
"834","alec gores","male"
"889","vinod khosla","male"
"914","s. daniel abraham","unknown"
"923","glenn dubin","male"
"932","thomas lee","male"
"969","stanley hubbard","male"
"981","david murdock","male"
"987","linda pritzker","female"
"989","rodney sacks","male"
"1000","amy wyss","female"
"1003","carol jenkins barnett","male"
"1057","ronald wanek","male"
"524","sid bass","male"
"595","nick caporella","male"
"688","jorge perez","male"
"901","bobby murphy","male"
"908","evan spiegel","male"
"945","nicholas pritzker","male"
"986","jennifer pritzker","female"
"988","larry robbins","male"
"531","vincent mcmahon","male"
"665","robert sands","male"
"777","lee bass","male"
"822","edward bass","male"
"1012","robert duggan","male"
"1014","james france","male"
"1029","marc lasry","male"
"1038","craig mccaw","male"
"1040","jonathan nelson","male"
"1056","todd wagner","male"
"1077","reid hoffman","male"
"1108","henry swieca","male"
"1181","evan williams","male"
"594","timothy boyle","male"
"741","aneel bhusri","unknown"
"747","ray davis","male"
"852","phillip t. (terry) ragon","male"
"915","leslie alexander","male"
"1036","david lichtenstein","male"
"1048","brian roberts","male"
"1094","jimmy john liautaud","male"
"1098","gary michelson","male"
"1109","jeffrey talpins","male"
"1143","christopher goldsbury","male"
"1304","gail miller","male"
"1336","charlotte colket weber","female"
"744","chuck bundrant","male"
"1018","bill haslam","male"
"1097","catherine lozick","female"
"1128","o. francis biondi","unknown"
"1146","brian higgins","male"
"1162","charles munger","male"
"1165","nelson peltz","male"
"1176","thomas steyer","male"
"1233","chad richison","male"
"1236","martin selig","male"
"1267","herb chambers","male"
"1281","j. tomilson hill","unknown"
"1416","j. hyatt brown","unknown"
"1526","anthony wood","male"
"924","lorenzo fertitta","male"
"925","phillip frost","male"
"999","john tyson","male"
"1023","william koch","male"
"1071","mario gabelli","male"
"1080","bradley jacobs","male"
"1127","nicolas berggruen","male"
"1170","jerry reinsdorf","male"
"1172","sheryl sandberg","female"
"1190","louis bacon","male"
"1205","stephen feinberg","male"
"1210","bill gross","male"
"1216","seth klarman","male"
"1278","alan gerry","male"
"1294","james leininger","male"
"1322","peter sperling","male"
"1328","kenny troutt","male"
"1522","alice schwartz","female"
"890","osman kibar","unknown"
"911","elaine wynn","female"
"928","w. herbert hunt","unknown"
"1001","david zalik","male"
"1064","david booth","male"
"1070","paul foster","male"
"1121","bill alfond","male"
"1122","susan alfond","female"
"1123","ted alfond","male"
"1130","peter buck","male"
"1152","george joseph","male"
"1193","ron burkle","male"
"1206","kathy fields","female"
"1215","hamilton james","male"
"1223","billy joe (red) mccombs","male"
"1234","katie rodan","female"
"1244","stephen winn","male"
"1273","bharat desai","male"
"1291","philippe laffont","female"
"1326","jonathan tisch","male"
"1335","chris wanstrath","male"
"1356","steve case","male"
"1363","sue gross","female"
"1424","james duff","male"
"1425","thomas duff","male"
"1452","eren ozmen","unknown"
"1453","fatih ozmen","unknown"
"1478","william ackman","male"
"1500","theodore leonsis","male"
"1551","leo koguan","male"
"775","anita zucker","female"
"791","drew houston","male"
"961","alexandra daitch","female"
"976","sarah macmillan","female"
"993","lucy stitzer","female"
"994","william stone","male"
"1163","craig newmark","male"
"1243","kenneth tuchman","male"
"1289","michael krasny","male"
"1323","kevin systrom","male"
"1359","darwin deason","male"
"1370","alexander karp","male"
"1373","sidney kimmel","male"
"1387","alexander rovt","male"
"1390","steven sarowitz","male"
"1442","frank laukien","male"
"1448","john martin","male"
"1496","jim koch","male"
"1510","duncan macmillan","male"
"1013","john farber","male"
"1177","jim thompson","male"
"1196","yvon chouinard","unknown"
"1212","timothy headington","male"
"1221","daniel lubetzky","male"
"1231","forrest preston","male"
"1302","george marcus","male"
"1327","wilma tisch","female"
"1342","farris wilks","unknown"
"1345","marc andreessen","male"
"1360","jamie dimon","male"
"1410","thomas bailey","male"
"1426","joseph edelman","male"
"1427","henry engelhardt","male"
"1429","j. christopher flowers","unknown"
"1451","jerry moyes","male"
"1455","mark pincus","male"
"1456","tom preston-werner","male"
"1464","thomas tull","male"
"985","kevin plank","male"
"1103","tor peterson","unknown"
"1230","roger penske","male"
"1314","fayez sarofim","unknown"
"1341","dan wilks","male"
"1358","henry davis","male"
"1362","donald foss","male"
"1383","gary magness","male"
"1430","donald friese","male"
"1435","thomas james","male"
"1471","george yancopoulos","male"
"1487","paul fireman","male"
"1495","richard kayne","male"
"1501","nancy lerner","female"
"1502","norma lerner","female"
"1503","randolph lerner","male"
"1509","frederic luddy","male"
"1517","michael price","male"
"1523","michael steinhardt","male"
"1257","edmund ansin","male"
"1347","brian armstrong","male"
"1454","david paul","male"
"1465","jayshree ullal","unknown"
"1489","jeff green","male"
"1541","david hall","male"
"1544","kylie jenner","female"
"1545","david kabiller","male"
"1555","john liew","male"
"1556","lowell milken","male"
"1560","axel stawski","male"
"1561","sandy weill","male"
