Rank,Name,Net Worth (billions of dollars),Age,Source,Country,real source,some wealth inheritance,major wealth inheritance
#1,Jeff Bezos,131,55,Amazon,United States,tech founder,no,no
#2,Bill Gates,96.5,63,Microsoft,United States,tech founder,no,no
#3,Warren Buffett,82.5,88,Berkshire Hathaway,United States,investment,no,no
#4,Bernard Arnault,76,70,LVMH,France,fashion management,yes,no
#5,Carlos Slim Helu,64,79,telecom,Mexico,investment,no,no
#6,Amancio Ortega,62.7,83,Zara,Spain,fashion founder,no,no
#7,Larry Ellison,62.5,74,software,United States,tech founder,no,no
#8,Mark Zuckerberg,62.3,35,Facebook,United States,tech founder,no,no
#9,Michael Bloomberg,55.5,77,Bloomberg LP,United States,tech founder,no,no
#10,Larry Page,50.8,46,Google,United States,tech founder,no,no
#11,Charles Koch,50.5,83,Koch Industries,United States,heavy industry,yes,no
#11,David Koch,50.5,79,Koch Industries,United States,heavy industry,yes,no
#13,Mukesh Ambani,50,62,"petrochemicals, oil & gas",India,heavy industry,yes,no
#14,Sergey Brin,49.8,45,Google,United States,tech founder,no,no
#15,Francoise Bettencourt Meyers,49.3,66,L'Oreal,France,cosmetics inheritance,yes,yes
#16,Jim Walton,44.6,71,Walmart,United States,retail inheritance,yes,yes
#17,Alice Walton,44.4,69,Walmart,United States,retail inheritance,yes,yes
#18,Rob Walton,44.3,74,Walmart,United States,retail inheritance,yes,yes
#19,Steve Ballmer,41.2,63,Microsoft,United States,tech founder,no,no
#20,Ma Huateng,38.8,47,tencent,China,tech founder,no,no
#21,Jack Ma,37.3,54,e-commerce,China,tech founder,no,no
#22,Hui Ka Yan,36.2,60,real estate,China,real estaet,no,no
#23,Beate Heister & Karl Albrecht Jr.,36.1,-,supermarkets,Germany,,,
#24,Sheldon Adelson,35.1,85,casinos,United States,,,
#25,Michael Dell,34.3,54,Dell computers,United States,,,
#26,Phil Knight,33.4,81,Nike,United States,,,
#27,David Thomson,32.5,62,media,Canada,,,
#28,Li Ka-shing,31.7,91,diversified,Hong Kong,,,
#29,Lee Shau Kee,30.1,91,real estate,Hong Kong,,,
#30,François Pinault,29.7,82,luxury goods,France,,,
#31,Joseph Safra,25.2,80,banking,Brazil,,,
#32,Leonid Mikhelson,24,63,"gas, chemicals",Russia,,,
#33,Jacqueline Mars,23.9,79,"candy, pet food",United States,,,
#33,John Mars,23.9,83,"candy, pet food",United States,,,
#35,Jorge Paulo Lemann,22.8,79,beer,Brazil,,,
#36,Azim Premji,22.6,73,software services,India,,,
#36,Dieter Schwarz,22.6,79,retail,Germany,,,
#36,Wang Jianlin,22.6,64,real estate,China,,,
#39,Giovanni Ferrero,22.4,54,"Nutella, chocolates",Italy,,,
#40,Elon Musk,22.3,48,Tesla Motors,United States,,,
#41,Tadashi Yanai,22.2,70,fashion retail,Japan,,,
#42,Yang Huiyan,22.1,37,real estate,China,,,
#43,Masayoshi Son,21.6,61,"internet, telecom",Japan,,,
#44,Jim Simons,21.5,81,hedge funds,United States,,,
#45,Vladimir Lisin,21.3,63,"steel, transport",Russia,,,
