2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
1,jeff bezos,131,55,amazon,united states,retail,yes,no,no,white,
2,bill gates,96.5,63,microsoft,united states,software,yes,no,no,white,
3,warren buffett,82.5,88,berkshire hathaway,united states,investment,no,no,no,white,
4,bernard arnault,76,70,lvmh,france,fashion,no,yes,no,,
5,carlos slim helu,64,79,telecom,mexico,investment,no,no,no,,
6,amancio ortega,62.7,83,zara,spain,fashion,yes,no,no,,
7,larry ellison,62.5,74,software,united states,software,yes,no,no,white,jewish
8,mark zuckerberg,62.3,35,facebook,united states,software,yes,no,no,white,jewish
9,michael bloomberg,55.5,77,bloomberg lp,united states,software,yes,no,no,white,jewish
10,larry page,50.8,46,google,united states,software,yes,no,no,white,jewish
11,charles koch,50.5,83,koch industries,united states,heavy industry,no,yes,no,white,
11,david koch,50.5,79,koch industries,united states,heavy industry,no,yes,no,white,
13,mukesh ambani,50,62,petrochemicals,india,heavy industry,no,yes,yes,
14,sergey brin,49.8,45,google,united states,software,yes,no,no,white,
15,francoise bettencourt meyers,49.3,66,l'oreal,france,cosmetics,no,yes,yes,,
16,jim walton,44.6,71,walmart,united states,retail,no,yes,yes,white,
17,alice walton,44.4,69,walmart,united states,retail,no,yes,yes,white,
18,rob walton,44.3,74,walmart,united states,retail,no,yes,yes,white,
19,steve ballmer,41.2,63,microsoft,united states,software,yes,no,no,white,
20,ma huateng,38.8,47,tencent,china,tech founder,yes,no,no,,
21,jack ma,37.3,54,e-commerce,china,tech founder,yes,no,no,,
22,hui ka yan,36.2,60,real estate,china,real estate,no,no,no,,
23,beate heister & karl albrecht jr,36.1,-,supermarkets,germany,supermarkets,no,yes,yes,,
24,sheldon adelson,35.1,85,casinos,united states,casinos,yes,no,no,white,jewish
25,michael dell,34.3,54,dell computers,united states,computer,yes,no,no,white,jewish
26,phil knight,33.4,81,nike,united states,fashion,yes,no,no,white,
27,david thomson,32.5,62,media,canada,news,no,yes,yes,,
28,li ka-shing,31.7,91,diversified,hong kong,investment,no,yes,yes,,
29,lee shau kee,30.1,91,real estate,hong kong,real estate,no,no,no,,
30,françois pinault,29.7,82,luxury goods,france,luxury,yes,yes,no,,
31,joseph safra,25.2,80,banking,brazil,banking,yes,no,no,,
32,leonid mikhelson,24,63,gas,chemicals,russia,gas,no,no,no,
33,jacqueline mars,23.9,79,candy,pet food,united states,food,no,yes,yes,white
33,john mars,23.9,83,candy,pet food,united states,food,no,yes,yes,white
35,jorge paulo lemann,22.8,79,beer,brazil,beer,no,no,no,,
36,azim premji,22.6,73,software services,india,software services,yes,yes,no,,
36,dieter schwarz,22.6,79,retail,germany,supermarkets,no,yes,no,,
36,wang jianlin,22.6,64,real estate,china,real estate,no,no,no,,
39,giovanni ferrero,22.4,54,nutella,chocolates,italy,candy,no,yes,yes,
40,elon musk,22.3,48,tesla motors,united states,auto,yes,no,no,white,
