2020_rank,name,2020_net_worth,2020_age,2020_country,2020_source,2020_broad_source
1,jeff bezos,113,56,united states,amazon,technology
2,bill gates,98,64,united states,microsoft,technology
3,bernard arnault & family,76,71,france,lmvh,fashion & retail
4,warren buffett,67.5,89,united states,berkshire hathaway,finance & investments
5,larry ellison,59,75,united states,software,technology
6,amancio ortega,55.1,84,spain,zara,fashion & retail
7,mark zuckerberg,54.7,35,united states,facebook,technology
8,jim walton,54.6,71,united states,walmart,fashion & retail
9,alice walton,54.4,70,united states,walmart,fashion & retail
10,rob walton,54.1,75,united states,walmart,fashion & retail
11,steve ballmer,52.7,64,united states,microsoft,technology
12,carlos slim helu & family,52.1,80,mexico,telecom,telecom
13,larry page,50.9,47,united states,google,technology
14,sergey brin,49.1,46,united states,google,technology
15,francoise bettencourt meyers & family,48.9,66,france,l'oreal,fashion & retail
16,michael bloomberg,48,78,united states,bloomberg lp,media & entertainment
17,jack ma,38.8,55,china,e-commerce,technology
18,charles koch,38.2,84,united states,koch industries,diversified
18,julia koch & family,38.2,57,united states,koch industries,diversified
20,ma huateng,38.1,48,china,internet media,technology
21,mukesh ambani,36.8,63,india,petrochemicals,oil & gas
22,mackenzie scott,36,50,united states,amazon.com,technology
23,beate heister & karl albrecht jr,33.3,,germany,supermarkets,supermarkets
24,david thomson & family,31.6,62,canada,media,media & entertainment
25,phil knight & family,29.5,82,united states,nike,fashion & retail
26,lee shau kee,28.1,92,hong kong,real estate,real estate
27,françois pinault & family,27,83,france,luxury goods,fashion & retail
28,sheldon adelson,26.8,86,united states,casinos,gambling & casinos
29,jacqueline mars,24.7,80,united states,candy,pet food
29,john mars,24.7,84,united states,candy,pet food
31,elon musk,24.6,48,united states,tesla,spacex
32,giovanni ferrero,24.5,55,italy,nutella,chocolates
33,michael dell,22.9,55,united states,dell computers,technology
34,hui ka yan,21.8,61,china,real estate,real estate
35,li ka-shing,21.7,91,hong kong,diversified,diversified
36,he xiangjian,21.6,77,china,home appliances,manufacturing
36,jim simons,21.6,81,united states,hedge funds,finance & investments
38,yang huiyan & family,20.3,38,china,real estate,real estate
39,joseph safra,19.9,81,brazil,banking,finance & investments
40,dieter schwarz,19.8,80,germany,retail,fashion & retail
41,vladimir potanin,19.7,59,russia,metals,metals & mining
41,tadashi yanai & family,19.7,71,japan,fashion retail,fashion & retail
43,qin yinglin & family,18.5,54,china,pig breeding,food & beverage
44,lukas walton,18.4,33,united states,walmart,fashion & retail
45,vladimir lisin,18.1,63,russia,steel,transport
46,ray dalio,18,70,united states,hedge funds,finance & investments
47,takemitsu takizaki,17.4,74,japan,sensors,manufacturing
48,leonid mikhelson,17.1,64,russia,gas,chemicals
48,alain wertheimer,17.1,71,france,chanel,fashion & retail
48,gerard wertheimer,17.1,69,france,chanel,fashion & retail
51,theo albrecht jr & family,17,69,germany,aldi,supermarkets
51,len blavatnik,17,62,united states,diversified,diversified
51,william lei ding,17,48,china,online games,technology
54,susanne klatten,16.8,57,germany,bmw,pharmaceuticals
54,alexey mordashov & family,16.8,54,russia,steel,investments
56,masayoshi son,16.6,62,japan,internet,telecom
57,colin zheng huang,16.5,40,china,e-commerce,technology
57,dietrich mateschitz,16.5,75,austria,red bull,food & beverage
59,joseph lau,16.4,68,hong kong,real estate,real estate
59,laurene powell jobs & family,16.4,56,united states,apple,disney
61,zhang yiming,16.2,36,china,software,technology
62,leonardo del vecchio & family,16.1,84,italy,eyeglasses,fashion & retail
63,donald bren,15.5,87,united states,real estate,real estate
64,stephen schwarzman,15.4,73,united states,investments,finance & investments
65,vagit alekperov,15.2,69,russia,oil,energy
65,lee man tat,15.2,90,hong kong,food,food & beverage
65,wang wei,15.2,50,china,package delivery,service
68,petr kellner,14.9,55,czechia,finance,telecommunications
68,rupert murdoch & family,14.9,89,united states,newspapers,tv network
70,leonard lauder,14.6,83,united states,estee lauder,fashion & retail
70,zhong huijuan,14.6,59,china,pharmaceuticals,healthcare
72,gennady timchenko,14.4,67,russia,oil,gas
73,thomas peterffy,14.3,75,united states,discount brokerage,finance & investments
74,klaus-michael kuehne,14.2,82,germany,shipping,logistics
75,lee kun-hee,14.1,78,south korea,samsung,diversified
76,wang jianlin,14,65,china,real estate,real estate
77,steve cohen,13.9,63,united states,hedge funds,finance & investments
78,radhakishan damani & family,13.8,65,india,retail,investments
78,carl icahn,13.8,84,united states,investments,finance & investments
80,r. budi hartono,13.6,79,indonesia,banking,tobacco
81,dhanin chearavanont,13.5,80,thailand,diversified,diversified
