rank,Country,GDP,GDP,GDP Growth,Population,GDP per capita,Share of
1,United States,19485394000000 ,$19.485 trillion,2.27%,######,$59939 ,24.08%
2,China,12237700479375 ,$12.238 trillion,6.90%,######,$8612 ,15.12%
3,Japan,4872415104315 ,$4.872 trillion,1.71%,######,$38214 ,6.02%
4,Germany,3693204332230 ,$3.693 trillion,2.22%,######,$44680 ,4.56%
5,India,2650725335364 ,$2.651 trillion,6.68%,######,$1980 ,3.28%
6,United Kingdom,2637866340434 ,$2.638 trillion,1.79%,######,$39532 ,3.26%
7,France,2582501307216 ,$2.583 trillion,1.82%,######,$39827 ,3.19%
8,Brazil,2053594877013 ,$2.054 trillion,0.98%,######,$9881 ,2.54%
9,Italy,1943835376342 ,$1.944 trillion,1.50%,######,$32038 ,2.40%
10,Canada,1647120175449 ,$1.647 trillion,3.05%,######,$44841 ,2.04%
11,Russia,1578417211937 ,$1.578 trillion,1.55%,######,$10846 ,1.95%
12,South Korea,1530750923149 ,$1.531 trillion,3.06%,######,$29958 ,1.89%
13,Australia,1323421072479 ,$1.323 trillion,1.96%,######,$53831 ,1.64%
14,Spain,1314314164402 ,$1.314 trillion,3.05%,######,$28175 ,1.62%
15,Mexico,1150887823404 ,$1.151 trillion,2.04%,######,$9224 ,1.42%
16,Indonesia,1015420587285 ,$1.015 trillion,5.07%,######,$3837 ,1.25%
17,Turkey,851549299635 ,$852 billion,7.44%,######,$10498 ,1.05%
18,Netherlands,830572618850 ,$831 billion,3.16%,######,$48796 ,1.03%
